frame,time_sec,x_pixel,y_pixel,x_mm,y_mm,distance_from_center_mm,current_zone,in_arena,on_feeder,transition_event,tag_type,bee_id,trial_outcome
804,13.2,962.0,356.0,12.87,94.88,95.75,Inner,True,False,,auto,R35,Unknown
816,13.4,970.0,338.0,21.61,114.55,116.57,Inner,True,False,,auto,R35,Unknown
828,13.6,972.0,321.0,23.79,133.12,135.23,Inner,True,False,,auto,R35,Unknown
840,13.8,967.0,310.0,18.33,145.14,146.29,Inner,True,False,,auto,R35,Unknown
852,14.0,957.0,300.0,7.41,156.06,156.24,Inner,True,False,,auto,R35,Unknown
864,14.2,944.0,300.0,-6.8,156.06,156.21,Inner,True,False,,auto,R35,Unknown
876,14.4,934.0,302.0,-17.72,153.88,154.9,Inner,True,False,,auto,R35,Unknown
888,14.6,923.0,306.0,-29.74,149.51,152.44,Inner,True,False,,auto,R35,Unknown
900,14.8,918.0,311.0,-35.2,144.05,148.29,Inner,True,False,,auto,R35,Unknown
912,15.0,910.0,330.0,-43.95,123.29,130.89,Inner,True,False,,auto,R35,Unknown
924,15.2,910.0,336.0,-43.95,116.73,124.73,Inner,True,False,,auto,R35,Unknown
936,15.4,909.0,354.0,-45.04,97.07,107.01,Inner,True,False,,auto,R35,Unknown
948,15.6,911.0,374.0,-42.85,75.21,86.56,Inner,True,False,,auto,R35,Unknown
960,15.8,920.0,390.0,-33.02,57.73,66.51,Inner,True,False,,auto,R35,Unknown
972,16.0,941.0,403.0,-10.08,43.53,44.68,Inner,True,False,,auto,R35,Unknown
984,16.2,930.0,424.0,-22.09,20.58,30.2,Inner,True,True,,auto,R35,Unknown
996,16.4,929.0,427.0,-23.19,17.31,28.93,Inner,True,True,,auto,R35,Unknown
1008,16.6,928.0,426.0,-24.28,18.4,30.46,Inner,True,True,,auto,R35,Unknown
1020,16.8,942.0,406.0,-8.98,40.25,41.24,Inner,True,False,,auto,R35,Unknown
1032,17.0,941.0,406.0,-10.08,40.25,41.49,Inner,True,False,,auto,R35,Unknown
1044,17.2,942.0,404.0,-8.98,42.44,43.38,Inner,True,False,,auto,R35,Unknown
1056,17.4,943.0,405.0,-7.89,41.34,42.09,Inner,True,False,,auto,R35,Unknown
1068,17.6,941.0,405.0,-10.08,41.34,42.55,Inner,True,False,,auto,R35,Unknown
1080,17.8,941.0,405.0,-10.08,41.34,42.55,Inner,True,False,,auto,R35,Unknown
1092,18.0,942.0,405.0,-8.98,41.34,42.31,Inner,True,False,,auto,R35,Unknown
1104,18.2,941.0,405.0,-10.08,41.34,42.55,Inner,True,False,,auto,R35,Unknown
1116,18.4,943.0,405.0,-7.89,41.34,42.09,Inner,True,False,,auto,R35,Unknown
1128,18.6,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1140,18.8,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1152,19.0,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1164,19.2,943.0,405.0,-7.89,41.34,42.09,Inner,True,False,,auto,R35,Unknown
1176,19.4,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1188,19.6,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1200,19.8,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1212,20.0,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1224,20.2,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1236,20.4,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1248,20.6,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1260,20.8,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1272,21.0,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1284,21.2,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1296,21.4,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1308,21.6,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1320,21.8,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1332,22.0,942.0,404.0,-8.98,42.44,43.38,Inner,True,False,,auto,R35,Unknown
1344,22.2,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1356,22.4,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1368,22.6,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1380,22.8,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1392,23.0,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
1404,23.2,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1416,23.4,942.0,403.0,-8.98,43.53,44.45,Inner,True,False,,auto,R35,Unknown
1428,23.6,943.0,403.0,-7.89,43.53,44.24,Inner,True,False,,auto,R35,Unknown
